date,region,new_cases
18-Apr-20,EMRO,4859
18-Apr-20,EURO,33681
18-Apr-20,Other,0
18-Apr-20,SEARO,1690
18-Apr-20,WPRO,1987
19-Apr-20,AFRO,788
19-Apr-20,AMRO,37544
19-Apr-20,EMRO,4008
19-Apr-20,EURO,34624
19-Apr-20,Other,0
19-Apr-20,SEARO,2047
19-Apr-20,WPRO,1855
20-Apr-20,AFRO,868
20-Apr-20,AMRO,37478
20-Apr-20,EMRO,4742
20-Apr-20,EURO,27272
20-Apr-20,Other,0
20-Apr-20,SEARO,2297
20-Apr-20,WPRO,1326
21-Apr-20,AFRO,795
21-Apr-20,AMRO,31991
21-Apr-20,EMRO,5037
21-Apr-20,EURO,28808
21-Apr-20,Other,0
21-Apr-20,SEARO,2234
21-Apr-20,WPRO,2069
22-Apr-20,AFRO,560
22-Apr-20,AMRO,35995
22-Apr-20,EMRO,4879
22-Apr-20,EURO,31776
22-Apr-20,Other,0
22-Apr-20,SEARO,2081
22-Apr-20,WPRO,1761
23-Apr-20,AFRO,714
23-Apr-20,AMRO,34431
23-Apr-20,EMRO,5101
23-Apr-20,EURO,30256
23-Apr-20,Other,0
23-Apr-20,SEARO,2232
23-Apr-20,WPRO,1635
24-Apr-20,AFRO,1404
24-Apr-20,AMRO,35507
24-Apr-20,EMRO,4845
24-Apr-20,EURO,32194
24-Apr-20,Other,0
24-Apr-20,SEARO,2714
24-Apr-20,WPRO,1879
25-Apr-20,AFRO,1263
25-Apr-20,AMRO,58482
25-Apr-20,EMRO,5676
25-Apr-20,EURO,31158
25-Apr-20,Other,0
25-Apr-20,SEARO,2266
25-Apr-20,WPRO,1688
26-Apr-20,AFRO,819
26-Apr-20,AMRO,39237
26-Apr-20,EMRO,5615
26-Apr-20,EURO,28504
26-Apr-20,Other,0
26-Apr-20,SEARO,2793
26-Apr-20,WPRO,1169
27-Apr-20,AFRO,1154
27-Apr-20,AMRO,46887
27-Apr-20,EMRO,5347
27-Apr-20,EURO,23124
27-Apr-20,Other,0
27-Apr-20,SEARO,2206
27-Apr-20,WPRO,1482
28-Apr-20,AFRO,767
28-Apr-20,AMRO,37656
28-Apr-20,EMRO,5305
28-Apr-20,EURO,23410
28-Apr-20,Other,0
28-Apr-20,SEARO,2612
28-Apr-20,WPRO,1264
29-Apr-20,AFRO,1017
29-Apr-20,AMRO,35210
29-Apr-20,EMRO,5690
29-Apr-20,EURO,23505
29-Apr-20,Other,0
29-Apr-20,SEARO,2856
29-Apr-20,WPRO,1064
30-Apr-20,AFRO,1460
30-Apr-20,AMRO,36680
30-Apr-20,EMRO,5489
30-Apr-20,EURO,28296
30-Apr-20,Other,0
30-Apr-20,SEARO,2806
30-Apr-20,WPRO,1294
01-May-20,AFRO,1950
01-May-20,AMRO,40647
01-May-20,EMRO,6168
01-May-20,EURO,28308
01-May-20,Other,0
01-May-20,SEARO,3094
01-May-20,WPRO,1095
02-May-20,AFRO,1310
02-May-20,AMRO,48084
02-May-20,EMRO,6406
02-May-20,EURO,27081
02-May-20,Other,0
02-May-20,SEARO,3219
02-May-20,WPRO,1565
03-May-20,AFRO,1463
03-May-20,AMRO,47466
03-May-20,EMRO,5618
03-May-20,EURO,26006
03-May-20,Other,0
03-May-20,SEARO,3700
03-May-20,WPRO,1041
04-May-20,AFRO,1098
04-May-20,AMRO,46019
04-May-20,EMRO,5690
04-May-20,EURO,23762
04-May-20,Other,0
04-May-20,SEARO,3701
04-May-20,WPRO,1328
05-May-20,AFRO,2036
05-May-20,AMRO,43586
05-May-20,EMRO,7077
05-May-20,EURO,21325
05-May-20,Other,0
05-May-20,SEARO,5237
05-May-20,WPRO,1096
06-May-20,AFRO,1403
06-May-20,AMRO,32570
06-May-20,EMRO,7854
06-May-20,EURO,26083
06-May-20,Other,0
06-May-20,SEARO,4194
06-May-20,WPRO,1016
07-May-20,AFRO,1497
07-May-20,AMRO,36104
07-May-20,EMRO,7968
07-May-20,EURO,29974
07-May-20,Other,0
07-May-20,SEARO,4667
07-May-20,WPRO,1300
08-May-20,AFRO,2247
08-May-20,AMRO,44774
08-May-20,EMRO,8125
08-May-20,EURO,26466
08-May-20,Other,0
08-May-20,SEARO,4581
08-May-20,WPRO,1263
09-May-20,AFRO,2827
09-May-20,AMRO,50706
09-May-20,EMRO,8699
09-May-20,EURO,26278
09-May-20,Other,0
09-May-20,SEARO,4553
09-May-20,WPRO,1076
10-May-20,AFRO,2082
10-May-20,AMRO,43850
10-May-20,EMRO,9706
10-May-20,EURO,24599
10-May-20,Other,0
10-May-20,SEARO,4620
10-May-20,WPRO,1139
11-May-20,AFRO,1907
11-May-20,AMRO,48117
11-May-20,EMRO,9436
11-May-20,EURO,21277
11-May-20,Other,0
11-May-20,SEARO,5557
11-May-20,WPRO,1248
12-May-20,AFRO,2296
12-May-20,AMRO,38495
12-May-20,EMRO,8863
12-May-20,EURO,20487
12-May-20,Other,0
12-May-20,SEARO,5212
12-May-20,WPRO,927
13-May-20,AFRO,2600
13-May-20,AMRO,32160
13-May-20,EMRO,10243
13-May-20,EURO,24797
13-May-20,Other,0
13-May-20,SEARO,5483
13-May-20,WPRO,1364
14-May-20,AFRO,2323
14-May-20,AMRO,41970
14-May-20,EMRO,9535
14-May-20,EURO,22552
14-May-20,Other,0
14-May-20,SEARO,5381
14-May-20,WPRO,1081
15-May-20,AFRO,2438
