date,AFRO,AMRO,EMRO,EURO,Other,SEARO,WPRO
12-Mar-20,22,436,1129,5952,0,36,283
13-Mar-20,11,528,1313,7419,1,21,238
14-Mar-20,78,715,1817,8019,0,37,317
15-Mar-20,45,623,1417,9744,15,110,330
16-Mar-20,52,797,1177,9160,0,68,438
17-Mar-20,50,1818,1545,12144,0,106,339
18-Mar-20,95,1588,1464,13070,0,118,479
19-Mar-20,160,3781,1247,15937,0,183,655
20-Mar-20,76,4682,1546,23187,-4,173,513
21-Mar-20,111,5817,1225,24041,0,244,707
22-Mar-20,64,3771,1558,24364,0,339,747
23-Mar-20,176,7011,1819,22345,0,279,853
24-Mar-20,304,10814,2385,27050,0,309,989
25-Mar-20,351,12636,2838,28028,0,304,1135
26-Mar-20,281,14278,2836,33499,0,264,920
27-Mar-20,482,14718,3540,38425,0,329,1331
28-Mar-20,412,19418,3594,40768,0,406,1161
29-Mar-20,205,20938,3711,41490,0,353,1445
30-Mar-20,484,21386,3838,31178,0,367,1278
31-Mar-20,282,21087,4027,31691,0,430,967
01-Apr-20,313,25573,3740,41772,0,681,1557
02-Apr-20,621,26894,3868,39166,0,555,1372
03-Apr-20,560,31620,3820,37679,0,647,1132
04-Apr-20,689,29947,3446,41061,0,817,1447
05-Apr-20,423,39196,1685,38510,0,780,1019
06-Apr-20,231,33966,4054,29381,0,1007,1126
07-Apr-20,443,30668,4218,31145,0,685,1120
08-Apr-20,555,46268,3428,34900,0,1242,1027
09-Apr-20,690,27557,3357,39191,0,1097,1182
10-Apr-20,450,39311,3308,40419,0,916,1397
11-Apr-20,553,39312,3568,39563,0,1477,1301
12-Apr-20,388,40252,3719,35064,0,1496,1569
13-Apr-20,531,37535,3768,29032,0,1340,1308
14-Apr-20,527,32909,3925,27122,0,1769,1379
15-Apr-20,580,28497,3751,33725,0,1652,1399
16-Apr-20,477,33753,4043,32732,0,1719,1367
17-Apr-20,517,34947,4392,36757,0,1713,1699
18-Apr-20,744,37130,4859,33681,0,1690,1987
19-Apr-20,788,37544,4008,34624,0,2047,1855
20-Apr-20,868,37478,4742,27272,0,2297,1326
21-Apr-20,795,31991,5037,28808,0,2234,2069
22-Apr-20,560,35995,4879,31776,0,2081,1761
23-Apr-20,714,34431,5101,30256,0,2232,1635
24-Apr-20,1404,35507,4845,32194,0,2714,1879
25-Apr-20,1263,58482,5676,31158,0,2266,1688
26-Apr-20,819,39237,5615,28504,0,2793,1169
27-Apr-20,1154,46887,5347,23124,0,2206,1482
28-Apr-20,767,37656,5305,23410,0,2612,1264
29-Apr-20,1017,35210,5690,23505,0,2856,1064
30-Apr-20,1460,36680,5489,28296,0,2806,1294
01-May-20,1950,40647,6168,28308,0,3094,1095
